name,type,value,date
서울특별시,총전입 (명),117563,2020. 11
부산광역시,총전입 (명),40683,2020. 11
대구광역시,총전입 (명),30151,2020. 11
인천광역시,총전입 (명),36104,2020. 11
광주광역시,총전입 (명),18019,2020. 11
대전광역시,총전입 (명),16951,2020. 11
울산광역시,총전입 (명),10809,2020. 11
세종특별자치시,총전입 (명),8039,2020. 11
경기도,총전입 (명),169893,2020. 11
강원도,총전입 (명),17736,2020. 11
충청북도,총전입 (명),18625,2020. 11
충청남도,총전입 (명),22288,2020. 11
전라북도,총전입 (명),19500,2020. 11
전라남도,총전입 (명),20556,2020. 11
경상북도,총전입 (명),25795,2020. 11
경상남도,총전입 (명),30357,2020. 11
제주특별자치도,총전입 (명),7135,2020. 11
서울특별시,총전입 (명),133111,2020. 12
부산광역시,총전입 (명),47723,2020. 12
대구광역시,총전입 (명),33539,2020. 12
인천광역시,총전입 (명),42808,2020. 12
광주광역시,총전입 (명),21092,2020. 12
대전광역시,총전입 (명),21898,2020. 12
울산광역시,총전입 (명),13224,2020. 12
세종특별자치시,총전입 (명),8816,2020. 12
경기도,총전입 (명),192124,2020. 12
강원도,총전입 (명),19517,2020. 12
충청북도,총전입 (명),25106,2020. 12
충청남도,총전입 (명),28051,2020. 12
전라북도,총전입 (명),23393,2020. 12
전라남도,총전입 (명),25984,2020. 12
경상북도,총전입 (명),32824,2020. 12
경상남도,총전입 (명),39068,2020. 12
제주특별자치도,총전입 (명),9344,2020. 12
서울특별시,총전입 (명),114415,2021. 01
부산광역시,총전입 (명),42765,2021. 01
대구광역시,총전입 (명),29456,2021. 01
인천광역시,총전입 (명),33855,2021. 01
광주광역시,총전입 (명),20620,2021. 01
대전광역시,총전입 (명),20609,2021. 01
울산광역시,총전입 (명),13400,2021. 01
세종특별자치시,총전입 (명),8038,2021. 01
경기도,총전입 (명),170399,2021. 01
강원도,총전입 (명),17653,2021. 01
충청북도,총전입 (명),20302,2021. 01
충청남도,총전입 (명),24977,2021. 01
전라북도,총전입 (명),20333,2021. 01
전라남도,총전입 (명),22058,2021. 01
경상북도,총전입 (명),28704,2021. 01
경상남도,총전입 (명),36012,2021. 01
제주특별자치도,총전입 (명),9713,2021. 01
